N,M,best_val_mse,final_val_mse,min_val_mae,best_epoch,training_time_sec,converged,final_val_mae,effective_samples
40,100,0.21385535567697853,0.23342069832965576,0.29761166524405425,185,426.5279417037964,True,0.30535232611376834,4000
40,200,0.09712290621616625,0.11320396113124759,0.18549723435531962,143,833.0724146366119,True,0.19321424026380887,8000
40,500,0.032470537251456356,0.03280019259214887,0.09068325103232355,198,2559.731726169586,True,0.09068325103232355,20000
40,1000,0.01265480811256125,0.013182729355087783,0.0543943928882028,191,4489.937309026718,True,0.054725928401405166,40000
40,2000,0.006279473128079464,0.006515666595960007,0.0383446158643699,217,9764.068344831467,True,0.0383446158643699,80000
40,5000,0.002336524479451727,0.0027250691005364525,0.022760600901462813,248,13604.84559082985,True,0.023393830243603198,200000
40,10000,0.0015004188811964996,0.0015949273027443993,0.01760802995918565,204,22716.998530626297,True,0.0179235089157353,400000
40,15000,0.0010395490664894544,0.0011141856658488675,0.014588319626694908,307,50040.32834863663,True,0.014741187932139096,600000
50,100,0.20052100942592432,0.22188304169009426,0.28781951942829176,198,640.9391932487488,True,0.2976423471624201,5000
50,200,0.07547089146845268,0.08908125122388205,0.15686383073980156,180,1155.430816411972,True,0.16592897747502183,10000
50,500,0.03281733172409462,0.03590592315025402,0.08989529738522536,157,2453.692802429199,True,0.08989529738522536,25000
50,1000,0.010114293634665735,0.010599775190719148,0.04803387846007491,245,7114.31742811203,True,0.048330523854855326,50000
50,2000,0.0055054461897322635,0.005653523635834154,0.03535999060881258,237,11296.308225393295,True,0.035464324818717106,100000
50,5000,0.002152972396201732,0.002230062766470003,0.02112665034699858,271,24502.613382816315,True,0.021227912760712505,250000
50,10000,0.001302219891773932,0.0013410292993026852,0.0163886712425887,240,44011.978662490845,True,0.01641294372057674,500000
50,15000,0.0010048232010205307,0.0010624658012851078,0.014288605643392854,274,73675.0981297493,True,0.014466391883193088,750000
